name_family,family_summary
"Dragon, Black","Murderous tyrants of marshes, swamps, bogs, and fens, black dragons terrorize their domains with intense fervor. Gleefully sadistic, they rule their fetid principalities from a deep cave or otherwise isolated part of the swamp with a mix of lightning-quick raids and subterfuge. Their hatred for other creatures is as acidic as their breath weapons, and they rarely tolerate even other dragons of their kind—except perhaps to mate or temporarily collaborate to take down a mutual enemy.  Black dragons are amphibious—although they breathe air, their gills also allow them to breathe water. Their frills and fins make them accomplished swimmers, well suited to their wetland environments and submerged lairs. They're immune to the fetid water that comes as a result of their magical ability to corrupt water.  Black dragon lairs are as foul as their souls. The floors are littered with rotting meat, and plundered treasures line the muck and slime of their dank caves amid twisted roots and creepers. Such places are often crawling with pests, snakes, and slimes. Though they claim natural caverns when they can, they make do with areas of dense, twisted vegetation within a swamp. Black dragon treasure hoards primarily consist of gems and expensive glass work, as valuables of softer substance can't survive the dragon's acidic presence."
"Dragon, Blue","Blue dragons are the sleek and poised cosmopolitans of the chromatic dragons. Their brand of evil is organized, manipulative, and regal. Blue dragons often lair near or within cities and set out to bend the population to their will and gather hordes of servants. These dragons love spinning webs of conspiracy. A blue dragon's lackeys typically don't even realize that they serve a dragon, but instead think the protection money, tariffs, or taxes they are amassing is treasure for a cruel but legitimate master. In some ways, blue dragons even see their servants as a living hoard and value them like treasure. These dragons have been known to use these tactics even with their own chromatic cousins.  Not all blue dragons work clandestinely. Some lord over desert tribes and hill people like vengeful gods, demanding both tribute and worship. No matter how blue dragons manage their underlings, their bearing is regal and their lairs palatial; they're universally intolerant of insubordination, incompetence, and embezzlement, and punish perpetrators with murderous efficiency.  Blue dragons are also known for their use and mastery of illusion magic. They make use of illusions to augment their manipulations and bewilder their foes in battle. Blue dragons also have some control over water, but use this ability to destroy water, something quite dangerous for those who encounter them in their desert lairs.  The ideal lair for a blue dragon contains multiple passages, rooms, and secret chambers. As social creatures, blue dragons prefer to host guests in comfort—but their dwellings should not be so public that just anyone can come calling. A force of guards keeps out intruders, and clever illusions conceal the edifice from prying eyes. Rather than a pile of coins or gems, a blue dragon's true hoard is the rich furnishings in its citadel— expensive art, ornate furniture, and architectural marvels."
"Dragon, Brass","Brass dragons are whimsical tricksters who delight in humor and play. They particularly enjoy conversations with humans and other civilized humanoids, delighting in the naive customs of these diminutive races without showing them haughtiness or scorn. While they may seem merely curious, brass dragons engage in this sort of conversation with the goal of keeping up to date on regional politics so they can anticipate future conflicts. Along the way, they create extensive information networks that begin with their own allies but stretch across all levels of humanoid society—networks which the brass dragon then uses to subtly assist settlements near their lair. Unlike the schemes and manipulations of blue dragons, brass dragons use their informant networks to establish justice and equality.  These carefree dragons value independence and feel that all creatures deserve to live as they please, provided they don't harm others. They are emotional creatures and tend to have short attention spans, sometimes falling victim to depression in their twilight years. To combat this, some brass dragons keep pets and houseplants that they can care for.  Though they may seem childlike in their curiosity concerning mortal affairs, a brass dragon's prowess in battle is no laughing matter. A brass dragon whose territory or allies are threatened is a terrifying foe indeed, quick to shed their innocent guise and unleash their terrifying might upon evildoers.  Most brass dragons live in desert climates, and while they keep their lairs hidden, they often build near humanoid settlements."
"Dragon, Brine","Brine dragons are usually blue-green in color, with shiny scales, crests that help them glide through the water, and sweeping neck frills. They care little for either good or evil. As they are both opinionated and willing to impose their sense of order on others, many brine dragons eventually seek to rule over a meticulously crafted community. These communities are orderly and well-planned, with rigid standards of courtesy and unchanging laws set down by the dragon themself. A settlement seeded by a brine dragon can be made of members of almost any ancestry, but the most common inhabitants are humans, merfolk, tengus, or sahuagin.  Depending on the dragon's personality, their community members might view their brine dragon ruler as anything from a benevolent force of order to a fearful tyrant. Regardless, the typical brine dragon has little patience for kindness or philanthropy, and the strength and health of their settlement as a whole are of greater concern than individuals' well-being. A notable exception to this dispassion rises when an outside force encroaches on their lands. In these cases, the brine dragon is quick to step in and aid in the defense of their community.  Although brine dragons enjoy cultivating settlements, they rarely make their lairs within the city limits, instead preferring to dwell in sea caves or cliffside grottoes overlooking the coastline. Here they can retreat for privacy as needed, or can accumulate and display their gathered wealth in a place where they feel safe spreading out their treasures. Brine dragon hoards often consist of a mix of offerings and taxes paid by those they rule over and strange discoveries salvaged from sunken ships."
"Dragon, Bronze","Bronze dragons are among the most common of metallic dragons and the most likely to ally with mortals on worthy quests. However, they are naturally scholarly creatures who would rather remain in their lairs studying esoteric lore than go off on a wild adventure. These aloof and stoic dragons also act as preservationists, guarding storehouses of ancient lore from destruction or perversion. Bronze dragons are principled and protective, but while their silver cousins are quick to crusade for justice, bronze dragons prefer to find an important location worthy of their protection and guard it against any attack or unwelcome intrusion.  Bronze dragons' mastery over water and affinity for electricity means they are a boon to sailors caught in thunderstorms. A bronze dragon's enemies quickly discover neither cloudy sky nor turbulent sea provides shelter from their wrath. Bronze dragons lair along shorelines, often in partially submerged sea caves.  While all dragons keep hoards of treasure, the hoard of a bronze dragon more resembles a vast library—with the shelves kept carefully above the waterline, of course. In addition to their collections of esoteric lore, bronze dragons keep treasures associated with the sea, such as beautiful scrimshaw, flawless pearls, and equipment inlaid with mother-of-pearl and abalone shell."
"Dragon, Cloud","At heart, cloud dragons are wanderers, explorers, and travelers who enjoy nothing more than seeing new lands and meeting unusual creatures. Cloud dragons range in color from light blue to a pale, milky white and have thick, curling horns and rather short snouts. They keep lairs among the extreme altitudes of the highest mountain peaks but are away on their many journeys as often as they're at home. Cloud dragons spend long hours surveying the lands they fly over from great heights, but they are creatures of whim, making it hard to predict what will pique their curiosity and bring them winging down to converse or investigate something on the ground. Cloud dragons seldom perform acts of outright malice, but they are not often charitable either. A cloud dragon is as likely to simply pluck something they desire off the ground and fly away with it as they are to bargain fairly.  A cloud dragon's ever-changing interests never seem to stray toward the complicated schemes and long-term plans of other dragons. These rovers are creatures of the moment, and although they are as mentally gifted as other true dragons, their interests remain in the here and now. Yet the cloud dragon's penchant for living in the moment is not a personality flaw—they're more than capable of anticipating long-term results of their actions and won't make foolish choices simply to pursue a current interest. At the same time, cloud dragons have little interest in worrying about the future and are as confident in their ability to handle tomorrow's problems as they are today's.  Cloud dragon hoards tend to be well-guarded or well-hidden, as a natural result of their roving habits often taking them away from their lairs for extended periods. Their treasuries include a wide variety of items—they are driven to gather a broad range of prizes rather than collecting one type of item intensively. To a cloud dragon, a diversified hoard is a perfect hoard."
"Dragon, Copper","Capricious and always eager to share a good laugh, copper dragons are among the wiliest of the metallic dragons, but this by no means interferes with their mission to spread freedom in oppressive lands. Copper dragons are hedonists who are quick to indulge in simple pleasures, but they're also sympathetic to other creatures, slow to pass judgment, and careful to always examine a situation from as many perspectives as possible. This philosophy has its drawbacks, however, as copper dragons are susceptible to negative influences and prone to forgiving the less serious evil acts performed by their chromatic cousins and other cruel creatures. Copper dragons also have a difficult time keeping their temper in check once they are roused to anger.  Copper dragons tend to lair in warm or temperate hills, but due to their nature, they move their lairs every few years. They sometimes live among other people, especially any dwarves who reside nearby. Some copper dragons even worship gods typically worshipped only by humanoids. Among these dragons, worship of Cayden Cailean is most popular, as they see his love of freedom and penchant for alcohol aligning with the typical copper dragon mindset.  A copper dragon's combat tactics are as unorthodox as its sense of humor, as it is more likely to use mockery and tricks than outright strength to win its battles. As a copper dragon ages, it perfects jokes capable of rendering its foes helpless with laughter."
"Dragon, Crystal","Good-natured but vain, crystal dragons are beautiful creatures with brilliant hides made of multicolored crystal and gemstone. Their beauty is a source of great pride but is also something of a weakness, as crystal dragons are easily angered by insults about their appearance. Despite their relatively benign natures when compared to other true dragons, crystal dragons can be short tempered and prone to finding insults where none were intended. Although their opinions are changeable, crystal dragons prefer orderly environments and are not fond of sudden interruptions or distractions.  Crystal dragons build their lairs in underground grottoes, where they cultivate environments of great beauty. Their exacting standards and vivid imaginations mean that they are always working to improve the appearance or layout of some part of their lair. These lairs are unique to each individual crystal dragon, but there are always plenty of reflective surfaces that allow the dragon to observe their own appearance. These range from crystals to reflecting pools to finely crafted mirrors, which are arranged throughout the lair in a pleasing array. Gifts of well-crafted or magical mirrors are an excellent way to curry favor with a crystal dragon.  Although crystal dragons are easily distracted by their sparkling collections or their vanity, they remain good-hearted creatures at the core and make friends quickly. While a crystal dragon tends to find evil creatures uncouth and unpleasant, any other nearby denizen or inhabitant of their home could become fast friends or beloved pets, depending upon the creature's capacity for conversation (and for providing the frequent praise and compliments that crystal dragons hunger for)."
"Dragon, Forest","Forest dragons oversee the endless growth of nature, protect it from plunder, and reclaim ruins for the wilderness. Some say these dragons jealously hoard nature's bounty for themselves while seeing everyone else who tries to benefit from nature as thieves and poachers. They loathe the progress of technology and civilization, preferring the company of monsters and animals. Forest dragons are their forests in a literal sense. Over time, their hair becomes mossy, their hide toughens like bark, and small insects or animals live within them. "
"Dragon, Gold","Gold dragons are the epitome of metallic dragonkind, unrivaled in their strength as well as their wisdom. They command the unwavering reverence of all other metallic dragons, who view gold dragons as their leaders and counselors. Golds rival the raw power of even red dragons, much to the chagrin of their chromatic cousins, and the two races are often regarded as bitter rivals. But despite their incredible power, gold dragons are fond of discourse and prefer to talk through solutions to problems rather than rely upon brute strength. Long-lived as they are, they necessarily take a wide view of all situations and never act without considering all possible options and outcomes. Because of this, gold dragons willingly converse with any creature that seeks them out, even evil chromatic dragons. Mortals might find this behavior strange, considering the longstanding war between chromatic and metallic dragons, but dragons know all too well that desperate situations sometimes call for drastic alliances. And although gold dragons might consider brief truces with their chromatic brethren in the case of world-ending threats, they also know when such alliances have run their course.  When another metallic dragon faces a quandary or a foe beyond its own ability to overcome, its best option is often to seek the counsel of the eternally wise and gloriously righteous gold dragons. Locating these legendary beings is no easy task, however, for gold dragons are notoriously reclusive. Their intellect and wisdom is such that they prefer to ponder the great questions of life in seclusion, where they strive to formulate solutions to the world's most pressing problems. As a result, gold dragons are sometimes absent when metallic dragons gather together, or are missing from tribunals where their counsel would be beneficial. Impatient dragons sometimes begrudge gold dragons for this apparent unreliability, but such aspersions are usually a result of jealousy rather than any true criticism; in their hearts, other dragons know that few gold dragons purposefully exclude themselves from truly important matters. A gold dragon's incredible foresight and unparalleled enlightenment means they are unlikely to interfere in the business of individual mortals, though the rare person who captures the attention of a gold dragon is fortunate indeed, for there are few beings in the cosmos who can offer such prudent and considerate advice. Rulers and individuals in stations of high power have an easier time of garnering the aid of a gold dragon; entire wars have been avoided thanks to a gold dragon's last-minute intermediation. Gold dragons are often found in warm grasslands and savannas, lands where they can enjoy long, meditative flights without attracting the attention of potential enemies. They tend to sleep either out in the open in a barren, remote place, or within a heavily secreted or fortified lair, such as a forgotten sink hole or in the labyrinthine caverns of a terrestrial chasm. Gold dragons may enlist trusted servants and allies to guard their lairs, though many live truly solitary lives, preferring to protect their hoards with nonlethal traps and magical wards."
"Dragon, Green","Green dragons are the most contemplative of the chromatic dragons as well as the most approachable. The key to understanding green dragons is to understand their obsession with knowledge and self-discipline. Any careful approach that takes advantage of a green dragon's fixations may end in a diplomatic outcome, but any misstep or slight can provoke a savage attack. Like most chromatic dragons, green dragons do not suffer fools—and the threshold for what they consider foolish is very low.  Though more open than their chromatic cousins to dealing with other creatures and dragons, green dragons prefer an isolated and quiet life. They tend to lair in the most forbidding parts of a forest, surrounded by tangled thickets, or else at the heart of some dismal gulch. If the terrain is suitable, some green dragons make their home in natural caves, which they expand to suit their needs.  Green dragons' pride leads them to see to the preservation of their forest homes. They feel that a verdant and lush forest is something that they alone have cultivated. This leads some green dragons to follow the path of druidism, though most prefer to study the arcane arts and occult lore. Most of them delve deeply into one particular field of study, and correspond with other scholars in the field by adopting a pen name that hides their true nature. Regardless of their chosen focus, green dragons seek to improve themselves, and their desire for knowledge makes them more likely to deal diplomatically with other creatures in order to obtain new information.  Their hoards are typically well kept, organized, and filled with tomes of lore and scrolls of magic along with antiquities they collect for their own inscrutable reasons. Many of these treasures come from across the globe, and many an adventurer has survived an encounter with a green dragon by stroking its ego and plying it with rare artifacts or lost lore from ancient cultures."
"Dragon, Magma","Magma dragons have a reputation among other dragons for being unpredictable and brash. Their temperament and tendency for violent outbursts ensure that the typical magma dragon lives a solitary life, with hatchlings often bickering or fighting to establish dominance among themselves before they leave the nest. A magma dragon always has a reason for their outbursts and can always justify their sudden turns in mood, yet they rarely feel the need to do so.  Magma dragons build lairs within volcanically active mountains or deep underground amid vast lakes of bubbling magma. As with all true dragons, magma dragons keep hoards of treasure, but the nature of their searing lairs limits the type of valuables they collect to metals, gems, and items capable of resisting the heat of a volcano's core."
"Dragon, Red","The largest and most powerful of the chromatic dragons, red dragons are a menace to civilizations everywhere, and their strength is rivaled only by their arrogance. Red dragons see themselves as regents and overlords of all dragonkind. With their crowns of crimson spikes and their command of blistering flame, this is no haughty boast in their eyes—only unquestioned fact.  Red dragons don't deign to speak with lesser creatures; they simply dominate and burn, enslaving weaker creatures to act as servants and to look after their lairs while the dragons slumber away. They take pleasure in dominating these creatures, and they demand tribute from their supplicants. Those who anger or disappoint end up eaten or reduced to ash. They command their enslaved minions to constantly build onto their lairs, carving out new tunnels and designing cunning traps that ensure the dragon's security.  Driven by their arrogance, red dragons are the most likely of the chromatic dragons to ravage settlements. They want the world to see them in their rightful place as powerful tyrants, and they delight in threatening all other creatures. They have no qualms about bullying, manipulating, or killing to complete their goals—or simply intimidating others through a public display of brutality and dominance.  As legendary as the brutishness of red dragons is the magnificence of their hoards of gold. Their lairs are often situated in dangerous places, with volcanoes being a favorite spot, as they find them foreboding and the constant warmth is comfortable. No matter the locale, red dragons sleep on a litter of coins and other treasures, which they zealously guard. Sometimes, the dragon's internal heat causes these precious metals to fuse together."
"Dragon, Sea","Sea dragons' affinity with water grants them mastery over rain, storms, and floods. Those whose livelihoods are at the mercy of the weather and waves frequently venerate these great aquatic creatures. Most sea dragons respond kindly to requests, but, like the sea, they can be unpredictable and fickle. Sea dragons have disk-shaped scales like fish and webbed claws as well as large back and tail fins to aid in swimming. They appear in vivid and vibrant colors, like aquatic wildlife. Underwater flora and fauna grow and thrive upon older sea dragons, and ancient sea dragons often have a head of coral around their antlers, giving them the image of being crowned royalty"
"Dragon, Silver","Silver dragons are among the most chivalrous of all dragonkind; they wield frost and cold as weapons, can walk on clouds, and dwell high upon snowy mountain peaks or deep in steep, misty valleys. Although they typically make their lairs among the highlands, the pursuit of justice leads silver dragons to travel far and wide—often into the very heart of realms overrun by evil. These exemplars of righteousness are ceaseless in their determination to help the weak, spread honor, and stamp out evil.  Silver dragons are sleek and sinuous. Their hides resemble nothing so much as a suit of gleaming armor, lending further credence to the popular myth that silver dragons are the paladins of dragonkind. The zeal with which they seek out, confront, and defeat evil is unsurpassed even among their metallic cousins, and they adhere to strict codes of honor usually passed down from parent to hatchling. On occasion, they instead learn these codes from trusted mentors, usually other silver dragons or gold dragons. As they age, they become even more dedicated to their codes, often adding new and even more restrictive clauses to the systems that guide their behavior.  Silver dragons are incredibly altruistic and regularly consort with the citizens of goodly societies, of which they consider themselves protectors and guides. In addition to responding to evil threats, silver dragons work to prevent evil from taking root in the first place, and they ensure mortals under their care are well fed, educated, and treated with dignity. Although silver dragons can seem overzealous or even eager to join the fight against evil, they know that the best way to rid the world of corruption is to stamp out strife and disillusionment at their source, not to passively sit back and watch it grow into an unsolvable problem. Silver dragons can be vindictive, but they can also be forgiving; for evildoers who seek to atone for their sins and turn over a new leaf, the support of a silver dragon is both unwavering and invaluable.  Many silver dragons are also drawn to religious endeavors, venerating deities such as Iomedae, Sarenrae, and other deities concerned with justice, virtue, and redemption."
"Dragon, Sky","Sky dragons live above the clouds near the summits of mountains. They maintain a strong religious tradition, a unique practice among imperial dragons that sets them apart as much as their wings do. Desperate souls risk steep cliffs and loose snow to seek these dragons' counsel, and most sky dragons gladly help those who make the journey, but they expel any express hostilities or badger without hesitation. The sky dragon's wings aren't true wings, but long fins fused to their forearms; their scales also form only very slowly. Young dragons coil tightly in their lairs as they absorb minerals that color and harden their scales. Even adults often wrap around pillars out of habit."
"Dragon, Sovereign","The most well-known of imperial dragons due to their deep involvement with mortals, the sovereign dragons' name comes from their mandate of selecting rulers—but at some point, the dragons themselves joined the list of worthy candidates. Other imperial dragons suspect the sovereign dragons offered their connection to the elemental cycle to attain forbidden magic, evidenced by their lack of any vulnerability to wood or ability to feed on fire, despite being creatures of the earth. Most hesitate to question the sovereigns' authority. While some appreciate their impartial nature, others fault this adherence to neutrality. Regardless, the sovereign dragons' charm and centuries of experience in subtle manipulation have made them exceptional negotiators. Almost all sovereign dragons appear gold in color. Their hair ranges from common colors found among humans to bright reds, greens, or blues. They're the only dragons with five digits per claw, a mark of special importance. Other imperial dragons dismiss this claim to status and instead tease the sovereign dragons over their need to wear armor, even while in their draconic forms."
"Dragon, Umbral","While the other primal dragons hail from the Elemental Planes, the cruel and unceasingly malicious umbral dragons originate in the depths of the Shadow Plane. Their sleek black scales and serpentine grace allow them to strike from hiding, and they are known for playing with their prey before finally finishing it. These creatures of shadowy energy and unwholesome appetites prefer the necrotic flesh of undead creatures to any other meal. This strange hunger can be of accidental benefit to nearby humanoid societies, but ultimately they hunt and kill undead creatures for the taste, rather than out of any desire to protect others from the undead. The benefit is always short-lived, however. When umbral dragons exhaust their preferred prey, they turn on whatever living creatures happen to be nearby. Umbral dragons sometimes go to great lengths to obtain their favorite meals, even creating undead creatures that they then feast upon.  For all their power, umbral dragons are uninterested in fair battles. When faced with foes that pose any kind of actual danger to them, umbral dragons flee into the shadows and seek to strike back through pawns or minions rather than risk their own lives. Their treasure hoards are varied and diverse, often augmented by loot stolen from crypts the dragons have turned into feeding grounds. They have a strong respect for and interest in traditions and heirlooms, and they often seek to augment their hoards with items of great value that have been handed down through the generations of those whose corpses and ghosts they've fed upon."
"Dragon, Underworld","Underworld dragons embody the pressure between tectonic plates, the heat behind geysers, and flash fires that ignite when the conditions are just right. Natural alchemists, they innately understand reagents and catalysts. While some research the effects of magic on material reactions, the majority of underworld dragons concentrate on building their hoards. They scour the world for carved gemstones and artifacts of precious minerals, both of which they see as distilled essence of earth's bounty. Underworld dragons appear angular and sharp; their scales glow as if superheated from within, and their hair flickers like tongues of flames. An intense fire glows behind their gazes, suggesting they could ignite items with a mere thought, and their breath ripples the air as a testament to the heat contained within their bodies."
"Dragon, White","The most feral and least intelligent of all the chromatic dragons, white dragons are brutish, predatory, and chiefly motivated by self-preservation. Nearly all other dragons look down on white dragons as hopelessly hotheaded and dull, though this does not make them any less dangerous—in fact, it may mean the opposite. It's nearly impossible to treat with white dragons, not because they lack the capacity to do so, but because they just don't care to. They are as difficult to deal with as they are quick to anger, and they become incensed at almost anything. When a white dragon does speak, it spews threats, inane jokes, and incoherent babbling as a prelude to attacking—and when the attack comes, it's bloody and relentless.  Thankfully, white dragons prefer very cold, remote locations that are far from people. Dwelling on glacial mountaintops or in ice caverns beneath forbidding tundra, they treat the lands around them as their own personal hunting grounds. They fly out to feed or terrorize other creatures, especially those who trespass near the dragon's territory, then bring any treasure back to be displayed in icy niches in their lairs. They collect all kinds of valuables, with a slight preference for items with high utility—such as tools, trade goods, and fine food—over coins or jewels. The ability to shape ice lets white dragons rearrange their lairs exactly to their specifications, and they take great pride in how they've decorated their homes over the years."
Courtiers,"Though adventurers travel through perilous dungeons and across treacherous wilderness, sometimes the most dangerous place they can end up is in a noble court."
Azata,"Azatas are manifestations of freedom—kindly celestials with a penchant for curious exploration, spontaneous revelry, and whimsical quests. Born of the untamable wilds of Elysium, azatas are passionate and mercurial, but also fiercely loyal to those they hold dear. Azatas act quickly and directly against fiendish and otherworldly influences, but they tend to stay out of mortal affairs otherwise, allowing them the ultimate freedom to choose their own destiny. While all azatas cherish freedom, each type exemplifies a particular freedom above others. Many of their kind hold strange knightly and courtly titles that defy mortal classification and shift and change with time and on different occasions rather than following a strict hierarchy. This baffles archon and other more lawful creatures who haven't had much contact with azatas. In actuality, the azatas use their titles as personal flourishes and points of pride, rather than as excuses to order each other around."
Afziaka,"Vrykolakas vampires use animals as tools to carry their spirits when they would otherwise be slain. The animal usually dies as the vampire is reborn, but some live on in painful starvation"
Div,"Some fiends want to tear down the multiverse; others dedicate themselves to creating chaos and carnage, or to rule over realms with an iron fist. Divs strive toward a different, if equally reprehensible, goal—they seek to thwart and ruin the schemes and works of mortal beings. Long ago, divs were once genies bound to serve ancient mortal empires lost to the passage of eons. In the beginning, these genies were masters of creation, working alongside gracious mortal partners to create works of subtle design and powerful magical potential. What started as a collaboration with mortals soon morphed into abuse, disrespect, and even slavery and bondage. Eventually, these genies rebelled, but in doing so, they came under the sway of a nihilistic demigod known as Ahriman. Their new master twisted their form and granted them the power to avenge themselves upon their mortal overlords, leading to the birth of the first divs. Since that first wave of corruption, new divs arise from the spirits of the most wicked and hateful genies who die on the Material Plane, or those truly betrayed by mortals and overcome through their desire for vengeance. Upon such a death, instead of returning to the Elemental Planes, these genies' spirits are trapped in the dread orbit of Abaddon, where Ahriman reshapes them as divs and hoists them back to the world to wreak vengeance upon mortals."
