|Name|Creature family|Source|Rarity|Size|Alignment|Trait|Level|Hp|Ac|Fortitude|Reflex|Will|Perception|Sense|Speed|
|[Acolyte of Nethys](https://2e.aonprd.com/NPCs.aspx?ID=893)|[Devotees](https://2e.aonprd.com/MonsterFamilies.aspx?ID=183)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 212|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|1|16|15|+2|+5|+9|+7||25 feet|
|[Acrobat](https://2e.aonprd.com/NPCs.aspx?ID=940)|[Performers](https://2e.aonprd.com/MonsterFamilies.aspx?ID=193)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 236|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|2|28|18|+8|+12|+4|+6||30 feet|
|[Adachros](https://2e.aonprd.com/Monsters.aspx?ID=1149)|[Ennosite](https://2e.aonprd.com/MonsterFamilies.aspx?ID=233)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 95|Uncommon|Large|N|[Astral](https://2e.aonprd.com/Traits.aspx?ID=14), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|225|34|+24|+21|+26|+22|thoughtsense (imprecise) 120 feet|40 feet, fly 40 feet|
|[Adamantine Golem](https://2e.aonprd.com/Monsters.aspx?ID=243)|[Golem](https://2e.aonprd.com/MonsterFamilies.aspx?ID=57)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 189|Rare|Huge|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Golem](https://2e.aonprd.com/Traits.aspx?ID=220), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|18|255 (repair mode)|42|+33|+27|+29|+26|darkvision|30 feet|
|[Adept](https://2e.aonprd.com/NPCs.aspx?ID=925)|[Mystics](https://2e.aonprd.com/MonsterFamilies.aspx?ID=191)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 228|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|-1|8|14|+2|+4|+6|+4||25 feet|
|[Adhukait](https://2e.aonprd.com/Monsters.aspx?ID=1070)|[Asura](https://2e.aonprd.com/MonsterFamilies.aspx?ID=218)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 22|Common|Medium|LE|[Asura](https://2e.aonprd.com/Traits.aspx?ID=350), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70)|7|130|25|+15|+17|+13|+15|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|40 feet|
|[Adlet](https://2e.aonprd.com/Monsters.aspx?ID=1054)||[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 9|Common|Medium|CN|[Cold](https://2e.aonprd.com/Traits.aspx?ID=27), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|10|180|30|+20|+22|+16|+18|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Adult Black Dragon](https://2e.aonprd.com/Monsters.aspx?ID=128)|[Dragon, Black](https://2e.aonprd.com/MonsterFamilies.aspx?ID=165)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 105|Common|Large|CE|[Acid](https://2e.aonprd.com/Traits.aspx?ID=3), [Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50)|11|215|31|+23|+18|+21|+22|darkvision, scent (imprecise) 60 feet|50 feet, fly 120 feet, swim 50 feet|
|[Adult Blue Dragon](https://2e.aonprd.com/Monsters.aspx?ID=131)|[Dragon, Blue](https://2e.aonprd.com/MonsterFamilies.aspx?ID=166)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 108|Common|Huge|LE|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Electricity](https://2e.aonprd.com/Traits.aspx?ID=56)|13|260|34|+24|+23|+23|+24|darkvision, scent (imprecise) 60 feet|40 feet, burrow 20 feet, fly 150 feet|
|[Adult Brass Dragon](https://2e.aonprd.com/Monsters.aspx?ID=143)|[Dragon, Brass](https://2e.aonprd.com/MonsterFamilies.aspx?ID=170)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 118|Common|Large|CG|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72)|11|215|31|+22|+20|+21|+21|darkvision, scent (imprecise) 60 feet, tremorsense (imprecise) 30 feet|50 feet, burrow 30 feet, fly 120 feet|
|[Adult Brine Dragon](https://2e.aonprd.com/Monsters.aspx?ID=622)|[Dragon, Brine](https://2e.aonprd.com/MonsterFamilies.aspx?ID=175)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 87<br><br>2.0|Uncommon|Huge|LN|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|12|222|33|+25|+20|+21|+23|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|40 feet, fly 120 feet, swim 60 feet|
|[Adult Bronze Dragon](https://2e.aonprd.com/Monsters.aspx?ID=146)|[Dragon, Bronze](https://2e.aonprd.com/MonsterFamilies.aspx?ID=171)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 120|Common|Huge|LG|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|13|260|34|+24|+23|+26|+23|darkvision, scent (imprecise) 60 feet|40 feet, fly 140 feet, swim 50 feet|
|[Adult Cloud Dragon](https://2e.aonprd.com/Monsters.aspx?ID=625)|[Dragon, Cloud](https://2e.aonprd.com/MonsterFamilies.aspx?ID=176)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 90<br><br>2.0|Uncommon|Huge|N|[Air](https://2e.aonprd.com/Traits.aspx?ID=5), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|14|254|36|+26|+23|+26|+28|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), mist vision, [scent (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|50 feet, fly 160 feet; cloud walk|
|[Adult Copper Dragon](https://2e.aonprd.com/Monsters.aspx?ID=149)|[Dragon, Copper](https://2e.aonprd.com/MonsterFamilies.aspx?ID=172)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 122|Common|Large|CG|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Earth](https://2e.aonprd.com/Traits.aspx?ID=55)|12|235|33|+23|+22|+22|+23|darkvision, scent (imprecise) 60 feet|40 feet, fly 140 feet; climb stone 40 feet|
|[Adult Crystal Dragon](https://2e.aonprd.com/Monsters.aspx?ID=628)|[Dragon, Crystal](https://2e.aonprd.com/MonsterFamilies.aspx?ID=177)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 92<br><br>2.0|Uncommon|Huge|NG|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|11|185|33|+24|+19|+20|+20|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33), [tremorsense (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40)|50 feet, burrow 35 feet, fly 120 feet|
|[Adult Forest Dragon](https://2e.aonprd.com/Monsters.aspx?ID=1123)|[Dragon, Forest](https://2e.aonprd.com/MonsterFamilies.aspx?ID=227)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 75|Uncommon|Huge|CE|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Plant](https://2e.aonprd.com/Traits.aspx?ID=125), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|14|290|36|+25|+22|+27|+25|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|40 feet, fly 120 feet; woodland stride|
|[Adult Gold Dragon](https://2e.aonprd.com/Monsters.aspx?ID=152)|[Dragon, Gold](https://2e.aonprd.com/MonsterFamilies.aspx?ID=173)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 124|Common|Huge|LG|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72)|15|330|38|+28|+25|+28|+29|darkvision, scent (imprecise) 60 feet|50 feet, fly 180 feet, swim 50 feet|
|[Adult Green Dragon](https://2e.aonprd.com/Monsters.aspx?ID=134)|[Dragon, Green](https://2e.aonprd.com/MonsterFamilies.aspx?ID=167)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 110|Common|Huge|LE|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50)|12|215|34|+20|+22|+23|+22|darkvision, scent (imprecise) 60 feet|40 feet, fly 160 feet, swim 40 feet; trackless step, woodland stride|
|[Adult Magma Dragon](https://2e.aonprd.com/Monsters.aspx?ID=632)|[Dragon, Magma](https://2e.aonprd.com/MonsterFamilies.aspx?ID=178)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 94<br><br>2.0<br><br> , [Pathfinder #148: Fires of the Haunted City](https://2e.aonprd.com/Sources.aspx?ID=13) pg. 80|Uncommon|Huge|CN|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|270|34|+26|+21|+23|+23|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|40 feet, fly 140 feet; magma swim 40 feet|
|[Adult Red Dragon](https://2e.aonprd.com/Monsters.aspx?ID=137)|[Dragon, Red](https://2e.aonprd.com/MonsterFamilies.aspx?ID=168)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 112|Common|Huge|CE|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72)|14|305|37|+28|+25|+26|+26|darkvision, scent (imprecise) 60 feet, smoke vision|50 feet, fly 150 feet|
|[Adult Sea Dragon](https://2e.aonprd.com/Monsters.aspx?ID=1126)|[Dragon, Sea](https://2e.aonprd.com/MonsterFamilies.aspx?ID=228)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 78|Uncommon|Huge|CG|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|12|225|33|+22|+25|+20|+21|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [wavesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=41) (imprecise) 60 feet|30 feet, fly 100 feet, swim 50 feet; [_water walk_](https://2e.aonprd.com/Spells.aspx?ID=371)|
|[Adult Silver Dragon](https://2e.aonprd.com/Monsters.aspx?ID=155)|[Dragon, Silver](https://2e.aonprd.com/MonsterFamilies.aspx?ID=174)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 126|Common|Huge|LG|[Cold](https://2e.aonprd.com/Traits.aspx?ID=27), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50)|14|295|37|+26|+23|+28|+26|darkvision, fog vision, scent (imprecise) 60 feet|50 feet, fly 140 feet; cloud walk|
|[Adult Sky Dragon](https://2e.aonprd.com/Monsters.aspx?ID=1129)|[Dragon, Sky](https://2e.aonprd.com/MonsterFamilies.aspx?ID=229)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 80|Uncommon|Huge|LG|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Electricity](https://2e.aonprd.com/Traits.aspx?ID=56), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|235|34|+23|+21|+26|+24|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|40 feet, fly 140 feet|
|[Adult Sovereign Dragon](https://2e.aonprd.com/Monsters.aspx?ID=1132)|[Dragon, Sovereign](https://2e.aonprd.com/MonsterFamilies.aspx?ID=230)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 82|Uncommon|Huge|N|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|15|275|37|+27|+23|+29|+29|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|50 feet, fly 150 feet|
|[Adult Umbral Dragon](https://2e.aonprd.com/Monsters.aspx?ID=635)|[Dragon, Umbral](https://2e.aonprd.com/MonsterFamilies.aspx?ID=179)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 96<br><br>2.0|Uncommon|Huge|NE|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Shadow](https://2e.aonprd.com/Traits.aspx?ID=143), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|15|275|37|+27|+25|+27|+29|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|50 feet, fly 180 feet|
|[Adult Underworld Dragon](https://2e.aonprd.com/Monsters.aspx?ID=1135)|[Dragon, Underworld](https://2e.aonprd.com/MonsterFamilies.aspx?ID=231)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 84|Uncommon|Huge|LE|[Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|11|195|31|+23|+18|+22|+20|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet, smoke vision|40 feet, burrow 40 feet, fly 80 feet|
|[Adult White Dragon](https://2e.aonprd.com/Monsters.aspx?ID=140)|[Dragon, White](https://2e.aonprd.com/MonsterFamilies.aspx?ID=169)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 114|Common|Large|CE|[Cold](https://2e.aonprd.com/Traits.aspx?ID=27), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50)|10|215|29|+22|+19|+17|+20|darkvision, scent (imprecise) 60 feet, snow vision|30 feet, fly 120 feet; ice climb 30 feet|
|[Advisor](https://2e.aonprd.com/NPCs.aspx?ID=884)|[Courtiers](https://2e.aonprd.com/MonsterFamilies.aspx?ID=181)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 207|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|5|56|21|+9|+11|+15|+14||25 feet|
|[Aeolaeka (Stone Azata)](https://2e.aonprd.com/Monsters.aspx?ID=2080)|[Azata](https://2e.aonprd.com/MonsterFamilies.aspx?ID=10)|[Pathfinder #183: Field of Maidens](https://2e.aonprd.com/Sources.aspx?ID=145) pg. 83|Uncommon|Large|CG|[Azata](https://2e.aonprd.com/Traits.aspx?ID=17), [Celestial](https://2e.aonprd.com/Traits.aspx?ID=23), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|12|250|33|+25|+20|+23|+23|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [tremorsense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40) (precise) 60 feet|25 feet, burrow 25 feet; earth glide|
|[Afziaka Brute](https://2e.aonprd.com/Monsters.aspx?ID=2359)|[Afziaka](https://2e.aonprd.com/MonsterFamilies.aspx?ID=326)|[Pathfinder #185: A Taste of Ashes](https://2e.aonprd.com/Sources.aspx?ID=188) pg. 82|Uncommon|Large|NE|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|6|120|23|+16|+14|+12|+12|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Afziaka Stalker](https://2e.aonprd.com/Monsters.aspx?ID=2360)|[Afziaka](https://2e.aonprd.com/MonsterFamilies.aspx?ID=326)|[Pathfinder #185: A Taste of Ashes](https://2e.aonprd.com/Sources.aspx?ID=188) pg. 82|Uncommon|Large|NE|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|12|250|32|+22|+25|+18|+22|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Aghash](https://2e.aonprd.com/Monsters.aspx?ID=1118)|[Div](https://2e.aonprd.com/MonsterFamilies.aspx?ID=225)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 69|Common|Medium|LE|[Div](https://2e.aonprd.com/Traits.aspx?ID=351), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70)|4|75|19|+9|+10|+12|+12|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Agile Warrior](https://2e.aonprd.com/NPCs.aspx?ID=1450)||[Pathfinder #166: Despair on Danger Island](https://2e.aonprd.com/Sources.aspx?ID=85) pg. 23|Uncommon|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|180|35|+22|+26|+21|+25||35 feet|
|[Agradaemon](https://2e.aonprd.com/Monsters.aspx?ID=1018)|[Daemon](https://2e.aonprd.com/MonsterFamilies.aspx?ID=26)|[Pathfinder #162: Ruins of the Radiant Siege](https://2e.aonprd.com/Sources.aspx?ID=54) pg. 79|Rare|Gargantuan|NE|[Daemon](https://2e.aonprd.com/Traits.aspx?ID=213), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|19|400|45|+31|+36|+31|+31|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), smoke vision|40 feet, climb 40 feet|
|[Ahuizotl](https://2e.aonprd.com/Monsters.aspx?ID=540)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 12<br><br>2.0|Uncommon|Large|NE|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|6|105|23|+17|+13|+13|+13|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet, swim 35 feet|
|[Air Mephit](https://2e.aonprd.com/Monsters.aspx?ID=192)|[Elemental, Mephit](https://2e.aonprd.com/MonsterFamilies.aspx?ID=44)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 150|Common|Small|N|[Air](https://2e.aonprd.com/Traits.aspx?ID=5), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57)|1|12 ( fast healing 2 (in open air))|16|+3|+19|+7|+3|darkvision|20 feet, fly 40 feet|
|[Air Wisp](https://2e.aonprd.com/Monsters.aspx?ID=1142)|[Elemental, Wisp](https://2e.aonprd.com/MonsterFamilies.aspx?ID=232)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 90|Common|Tiny|N|[Air](https://2e.aonprd.com/Traits.aspx?ID=5), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57)|0|10|18|+3|+9|+4|+6|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|fly 40 feet|
|[Aiudara Wraith](https://2e.aonprd.com/Monsters.aspx?ID=488)|[Wraith](https://2e.aonprd.com/MonsterFamilies.aspx?ID=164)|[Pathfinder #150: Broken Promises](https://2e.aonprd.com/Sources.aspx?ID=15) pg. 78|Rare|Medium|NE|[Astral](https://2e.aonprd.com/Traits.aspx?ID=14), [Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160), [Wraith](https://2e.aonprd.com/Traits.aspx?ID=260)|18|300 ( negative healing )|45|+33|+37|+33|+33|darkvision, lifesense 60 feet|fly 60 feet; instantaneous movement|
|[Akata](https://2e.aonprd.com/Monsters.aspx?ID=541)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 13<br><br>2.0|Rare|Medium|N|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|1|15|16|+9|+5|+6|+6|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), no hearing, [scent (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|30 feet, climb 15 feet|
