name,creature_summary,name_family,level
Adult Gold Dragon,"Gold dragons are the epitome of metallic dragonkind, unrivaled in their strength as well as their wisdom. They command the unwavering reverence of all other metallic dragons, who view gold dragons as their leaders and counselors. Golds rival the raw power of even red dragons, much to the chagrin of their chromatic cousins, and the two races are often regarded as bitter rivals. But despite their incredible power, gold dragons are fond of discourse and prefer to talk through solutions to problems rather than rely upon brute strength. Long-lived as they are, they necessarily take a wide view of all situations and never act without considering all possible options and outcomes. Because of this, gold dragons willingly converse with any creature that seeks them out, even evil chromatic dragons. Mortals might find this behavior strange, considering the longstanding war between chromatic and metallic dragons, but dragons know all too well that desperate situations sometimes call for drastic alliances. And although gold dragons might consider brief truces with their chromatic brethren in the case of world-ending threats, they also know when such alliances have run their course. When another metallic dragon faces a quandary or a foe beyond its own ability to overcome, its best option is often to seek the counsel of the eternally wise and gloriously righteous gold dragons. Locating these legendary beings is no easy task, however, for gold dragons are notoriously reclusive. Their intellect and wisdom is such that they prefer to ponder the great questions of life in seclusion, where they strive to formulate solutions to the world's most pressing problems. As a result, gold dragons are sometimes absent when metallic dragons gather together, or are missing from tribunals where their counsel would be beneficial. Impatient dragons sometimes begrudge gold dragons for this apparent unreliability, but such aspersions are usually a result of jealousy rather than any true criticism; in their hearts, other dragons know that few gold dragons purposefully exclude themselves from truly important matters. A gold dragon's incredible foresight and unparalleled enlightenment means they are unlikely to interfere in the business of individual mortals, though the rare person who captures the attention of a gold dragon is fortunate indeed, for there are few beings in the cosmos who can offer such prudent and considerate advice. Rulers and individuals in stations of high power have an easier time of garnering the aid of a gold dragon; entire wars have been avoided thanks to a gold dragon's last-minute intermediation. Gold dragons are often found in warm grasslands and savannas, lands where they can enjoy long, meditative flights without attracting the attention of potential enemies. They tend to sleep either out in the open in a barren, remote place, or within a heavily secreted or fortified lair, such as a forgotten sink hole or in the labyrinthine caverns of a terrestrial chasm. Gold dragons may enlist trusted servants and allies to guard their lairs, though many live truly solitary lives, preferring to protect their hoards with nonlethal traps and magical wards.","Dragon, Gold",15
Adult Green Dragon,"Green dragons are the most contemplative of the chromatic dragons as well as the most approachable. The key to understanding green dragons is to understand their obsession with knowledge and self-discipline. Any careful approach that takes advantage of a green dragon’s fixations may end in a diplomatic outcome, but any misstep or slight can provoke a savage attack. Like most chromatic dragons, green dragons do not suffer fools—and the threshold for what they consider foolish is very low. Though more open than their chromatic cousins to dealing with other creatures and dragons, green dragons prefer an isolated and quiet life. They tend to lair in the most forbidding parts of a forest, surrounded by tangled thickets, or else at the heart of some dismal gulch. If the terrain is suitable, some green dragons make their home in natural caves, which they expand to suit their needs. Green dragons’ pride leads them to see to the preservation of their forest homes. They feel that a verdant and lush forest is something that they alone have cultivated. This leads some green dragons to follow the path of druidism, though most prefer to study the arcane arts and occult lore. Most of them delve deeply into one particular field of study, and correspond with other scholars in the field by adopting a pen name that hides their true nature. Regardless of their chosen focus, green dragons seek to improve themselves, and their desire for knowledge makes them more likely to deal diplomatically with other creatures in order to obtain new information. Their hoards are typically well kept, organized, and filled with tomes of lore and scrolls of magic along with antiquities they collect for their own inscrutable reasons. Many of these treasures come from across the globe, and many an adventurer has survived an encounter with a green dragon by stroking its ego and plying it with rare artifacts or lost lore from ancient cultures.","Dragon, Green",12
Adult Magma Dragon,"Magma dragons have a reputation among other dragons for being unpredictable and brash. Their temperament and tendency for violent outbursts ensure that the typical magma dragon lives a solitary life, with hatchlings often bickering or fighting to establish dominance among themselves before they leave the nest. A magma dragon always has a reason for their outbursts and can always justify their sudden turns in mood, yet they rarely feel the need to do so.Magma dragons build lairs within volcanically active mountains or deep underground amid vast lakes of bubbling magma. As with all true dragons, magma dragons keep hoards of treasure, but the nature of their searing lairs limits the type of valuables they collect to metals, gems, and items capable of resisting the heat of a volcano's core.","Dragon, Magma",13
Adult Red Dragon,"The largest and most powerful of the chromatic dragons, red dragons are a menace to civilizations everywhere, and their strength is rivaled only by their arrogance. Red dragons see themselves as regents and overlords of all dragonkind. With their crowns of crimson spikes and their command of blistering frame, this is no haughty boast in their eyes—only unquestioned fact. Red dragons don’t deign to speak with lesser creatures; they simply dominate and burn, enslaving weaker creatures to act as servants and to look after their lairs while the dragons slumber away. They take pleasure in dominating these creatures, and they demand tribute from their supplicants. Those who anger or disappoint end up eaten or reduced to ash. They command their enslaved minions to constantly build onto their lairs, carving out new tunnels and designing cunning traps that ensure the dragon’s security. Driven by their arrogance, red dragons are the most likely of the chromatic dragons to ravage settlements. They want the world to see them in their rightful place as powerful tyrants, and they delight in threatening all other creatures. They have no qualms about bullying, manipulating, or killing to complete their goals—or simply intimidating others through a public display of brutality and dominance. As legendary as the brutishness of red dragons is the magnificence of their hoards of gold. Their lairs are often situated in dangerous places, with volcanoes being a favorite spot, as they find them foreboding and the constant warmth is comfortable. No matter the locale, red dragons sleep on a litter of coins and other treasures, which they zealously guard. Sometimes, the dragon’s internal heat causes these precious metals to fuse together.","Dragon, Red",14
Adult Sea Dragon,"Sea dragons' affinity with water grants them mastery over rain, storms, and floods. Those whose livelihoods are at the mercy of the weather and waves frequently venerate these great aquatic creatures. Most sea dragons respond kindly to requests, but, like the sea, they can be unpredictable and fickle. Sea dragons have disk-shaped scales like fish and webbed claws as well as large back and tail fins to aid in swimming. They appear in vivid and vibrant colors, like aquatic wildlife. Underwater flora and fauna grow and thrive upon older sea dragons, and ancient sea dragons often have a head of coral around their antlers, giving them the image of being crowned royalty.","Dragon, Sea",12
Adult Silver Dragon,"Silver dragons are among the most chivalrous of all dragonkind; they wield frost and cold as weapons, can walk on clouds, and dwell high upon snowy mountain peaks or deep in steep, misty valleys. Although they typically make their lairs among the highlands, the pursuit of justice leads silver dragons to travel far and wide—often into the very heart of realms overrun by evil. These exemplars of righteousness are ceaseless in their determination to help the weak, spread honor, and stamp out evil. Silver dragons are sleek and sinuous. Their hides resemble nothing so much as a suit of gleaming armor, lending further credence to the popular myth that silver dragons are the paladins of dragonkind. The zeal with which they seek out, confront, and defeat evil is unsurpassed even among their metallic cousins, and they adhere to strict codes of honor usually passed down from parent to hatchling. On occasion, they instead learn these codes from trusted mentors, usually other silver dragons or gold dragons. As they age, they become even more dedicated to their codes, often adding new and even more restrictive clauses to the systems that guide their behavior. Silver dragons are incredibly altruistic and regularly consort with the citizens of goodly societies, of which they consider themselves protectors and guides. In addition to responding to evil threats, silver dragons work to prevent evil from taking root in the first place, and they ensure mortals under their care are well fed, educated, and treated with dignity. Although silver dragons can seem overzealous or even eager to join the fight against evil, they know that the best way to rid the world of corruption is to stamp out strife and disillusionment at their source, not to passively sit back and watch it grow into an unsolvable problem. Silver dragons can be vindictive, but they can also be forgiving; for evildoers who seek to atone for their sins and turn over a new leaf, the support of a silver dragon is both unwavering and invaluable. Many silver dragons are also drawn to religious endeavors, venerating deities such as Iomedae, Sarenrae, and other deities concerned with justice, virtue, and redemption.","Dragon, Silver",14
Adult Sky Dragon,"Sky dragons live above the clouds near the summits of mountains. They maintain a strong religious tradition, a unique practice among imperial dragons that sets them apart as much as their wings do. Desperate souls risk steep cliffs and loose snow to seek these dragons' counsel, and most sky dragons gladly help those who make the journey, but they expel any express hostilities or badger without hesitation. The sky dragon's wings aren't true wings, but long fins fused to their forearms; their scales also form only very slowly. Young dragons coil tightly in their lairs as they absorb minerals that color and harden their scales. Even adults often wrap around pillars out of habit.","Dragon, Sky",13
Adult Sovereign Dragon,"The most well-known of imperial dragons due to their deep involvement with mortals, the sovereign dragons' name comes from their mandate of selecting rulers—but at some point, the dragons themselves joined the list of worthy candidates. Other imperial dragons suspect the sovereign dragons offered their connection to the elemental cycle to attain forbidden magic, evidenced by their lack of any vulnerability to wood or ability to feed on fire, despite being creatures of the earth. Most hesitate to question the sovereigns' authority. While some appreciate their impartial nature, others fault this adherence to neutrality. Regardless, the sovereign dragons' charm and centuries of experience in subtle manipulation have made them exceptional negotiators. Almost all sovereign dragons appear gold in color. Their hair ranges from common colors found among humans to bright reds, greens, or blues. They're the only dragons with five digits per claw, a mark of special importance. Other imperial dragons dismiss this claim to status and instead tease the sovereign dragons over their need to wear armor, even while in their draconic forms.","Dragon, Sovereign",15
Adult Umbral Dragon,"While the other primal dragons hail from the Elemental Planes, the cruel and unceasingly malicious umbral dragons originate in the depths of the Shadow Plane. Their sleek black scales and serpentine grace allow them to strike from hiding, and they are known for playing with their prey before finally finishing it. These creatures of shadowy energy and unwholesome appetites prefer the necrotic flesh of undead creatures to any other meal. This strange hunger can be of accidental benefit to nearby humanoid societies, but ultimately they hunt and kill undead creatures for the taste, rather than out of any desire to protect others from the undead. The benefit is always short-lived, however. When umbral dragons exhaust their preferred prey, they turn on whatever living creatures happen to be nearby. Umbral dragons sometimes go to great lengths to obtain their favorite meals, even creating undead creatures that they then feast upon.For all their power, umbral dragons are uninterested in fair battles. When faced with foes that pose any kind of actual danger to them, umbral dragons flee into the shadows and seek to strike back through pawns or minions rather than risk their own lives. Their treasure hoards are varied and diverse, often augmented by loot stolen from crypts the dragons have turned into feeding grounds. They have a strong respect for and interest in traditions and heirlooms, and they often seek to augment their hoards with items of great value that have been handed down through the generations of those whose corpses and ghosts they've fed upon.","Dragon, Umbral",15
Adult Underworld Dragon,"Underworld dragons embody the pressure between tectonic plates, the heat behind geysers, and flash fires that ignite when the conditions are just right. Natural alchemists, they innately understand reagents and catalysts. While some research the effects of magic on material reactions, the majority of underworld dragons concentrate on building their hoards. They scour the world for carved gemstones and artifacts of precious minerals, both of which they see as distilled essence of earth's bounty. Underworld dragons appear angular and sharp; their scales glow as if superheated from within, and their hair flickers like tongues of flames. An intense fire glows behind their gazes, suggesting they could ignite items with a mere thought, and their breath ripples the air as a testament to the heat contained within their bodies.","Dragon, Underworld",11
Adult White Dragon,"The most feral and least intelligent of all the chromatic dragons, white dragons are brutish, predatory, and chiefly motivated by self-preservation. Nearly all other dragons look down on white dragons as hopelessly hotheaded and dull, though this does not make them any less dangerous—in fact, it may mean the opposite. It’s nearly impossible to treat with white dragons, not because they lack the capacity to do so, but because they just don’t care to. They are as difficult to deal with as they are quick to anger, and they become incensed at almost anything. When a white dragon does speak, it spews threats, inane jokes, and incoherent babbling as a prelude to attacking—and when the attack comes, it’s bloody and relentless. Thankfully, white dragons prefer very cold, remote locations that are far from people. Dwelling on glacial mountaintops or in ice caverns beneath forbidding tundra, they treat the lands around them as their own personal hunting grounds. They fly out to feed or terrorize other creatures, especially those who trespass near the dragon’s territory, then bring any treasure back to be displayed in icy niches in their lairs. They collect all kinds of valuables, with a slight preference for items with high utility—such as tools, trade goods, and fine food—over coins or jewels. The ability to shape ice lets white dragons rearrange their lairs exactly to their specifications, and they take great pride in how they’ve decorated their homes over the years.","Dragon, White",10
Advisor,"Trusted counselors of the court, advisors whisper words of guidance in the ears of those in power. Many nobles lean so heavily on their counsel that they make few decisions without them and insist on their attendance at all meetings and public events. Advisors are often master manipulators, and their guidance can shape a barony or even a kingdom—for good or ill.",Courtiers,5
Aeolaeka (Stone Azata),"Aeolaekas, also known as stone azatas, embody the slow but inevitable chaos of rock itself. Stone is often thought to be steadfast and unchanging, but, when viewed on a grander scale over vast periods of time, stone can transform into things as diverse as intricate crystals and fine powder. To the aeolaeka, anything that could become either sand or diamond is the very incarnation of the chaos of reality—just on a slower scale. As a result of their stone affinity, aeolaekas are less capricious than other azatas, and some have willingly forged lasting accords or agreements with mortals. Stone-skinned aeolaekas are sometimes mistaken for statues and use this fact to hide in plain sight when they don't want their presence known.",Azata,12
Afziaka Brute,"An afziaka brute arises from a horse, bull, or other large animal.",Afziaka,6
Afziaka Stalker,"Big predatory animals like dire wolves or hyaenodons might survive as an afziaka stalker, magically able to stalk their quarry.",Afziaka,12
Aghash,"Walking embodiments of curses, misfortune, and the evil eye, aghashes wander the deserts of the Material Plane, searching out the arrogant, charming, and persuasive to humiliate and undermine. Aghashes are often mistaken for some strange form of hag, and like those creatures, they're masters at curses.",Div,4
Agile Warrior,"The agile warrior uses their speed to jump around the battlefield and create openings. Making use of their Tumbling Attack, the agile warrior likes to spring back and forth between targets every round.",,13
Agradaemon,"Equal parts lion, spider, and demagogue, agradaemons are born from the forge-flames of Szuriel, Horseman of War. Although they're unwilling to work alongside each other for long, agradaemons frequently establish themselves as leaders of cults whose goal is to burn civilization to the ground. To these scheming monsters of flame and fear, torching a city is a mere diversion; incinerating a nation's entire agricultural system to turn its citizens into starving marauders before setting their forests and plains ablaze is truly satisfying.",Daemon,19
Ahuizotl,"The ahuizotl is a vicious, semi-aquatic predator that resembles a hideous cross between a badger and an otter, with disturbingly web-fingered paws supplemented by a fifth hand at the end of a long, serpentine tail. A clever and stealthy hunter, the ahuizotl lures unwary prey to their doom by mimicking the cries of people in distress. The ahuizotl's macabre habit of feeding on a victim's eyes, fingernails, and teeth leaves the corpses of its kills uniquely mutilated. Some say the creatures consider these body parts delicacies, while others insist ahuizotls collect them as tribute to a powerful but unknown entity. The fact that an ahuizotl does not eat the actual flesh of its victims, instead depositing their savaged and waterlogged corpses in locations where the remains are sure to be found by friends or family, points to a third and perhaps more likely possibility—the ahuizotl simply enjoys using its violent dietary quirks to spread fear and despair. An ahuizotl walks on all fours, but its hands are capable of manipulating simple tools and other objects. Ahuizotls have roughly mustelid features and an extra membrane covering their eyes, giving their eyes a dull color suggestive of cataracts and somewhat blunting the creature's vision. Yet despite their bestial appearance, ahuizotls are nearly as intelligent as the average human, and wiser than most. Although they don't form societies of their own, they have been known to ally with violent cults or conclaves of monsters, and even to found small shrines and temples to sinister deities. The cult of Charon, the horseman of Death, is particularly popular among certain ahuizotls, who look forward to an afterlife spent wallowing in the waters of the River Styx.",,6
Air Mephit,Air mephits are capricious and flighty relative to their kin; they are as likely to fly blindly into battle as they are to whine in terror at a loud noise. They are pale blue in coloration and have thin wings that trail small puffs of vapor as they fly through the skies.,"Elemental, Mephit",1
Air Wisp,"Air wisps are floating spheres of cloud and storm, perpetually humming a light, whispery tone. They're playful and capricious with great curiosity toward strangers.","Elemental, Wisp",0
